0	-0	1
0.0587639	0.0587613	1
0.117522	0.117515	1
0.176268	0.176261	1
0.234996	0.234999	1
0.2937	0.293729	1
0.352373	0.35245	1
0.411011	0.411162	1
0.469607	0.469865	1
0.528155	0.528558	1
0.58665	0.587241	1
0.645084	0.645914	1
0.703452	0.704577	1
0.761749	0.763228	1
0.819968	0.821869	1
0.878103	0.880498	1
0.936149	0.939116	1
0.994099	0.997722	1
1.05195	1.05632	1
1.10969	1.1149	1
1.16732	1.17347	1
1.22483	1.23202	1
1.28221	1.29056	1
1.33946	1.34909	1
1.39658	1.40761	1
1.45356	1.46611	1
1.51038	1.52459	1
1.56705	1.58306	1
1.62357	1.64152	1
1.67991	1.69996	1
1.73609	1.75839	1
1.79209	1.8168	1
1.84791	1.87519	1
1.90353	1.93357	1
1.95897	1.99193	1
2.01421	2.05028	1
2.06924	2.1086	1
2.12406	2.16691	1
2.17866	2.22521	1
2.23304	2.28349	1
2.2872	2.34174	1
2.34112	2.39999	1
2.3948	2.45821	1
2.44825	2.51641	1
2.50144	2.5746	1
2.55438	2.63277	1
2.60706	2.69091	1
2.65947	2.74904	1
2.71161	2.80716	1
2.76348	2.86525	1
2.81507	2.92332	1
2.86637	2.98137	1
2.91739	3.0394	1
2.9681	3.09741	1
3.01852	3.15541	1
3.06863	3.21338	1
3.11843	3.27133	1
3.16791	3.32926	1
3.21707	3.38717	1
3.26591	3.44506	1
3.31441	3.50293	1
3.36258	3.56078	1
3.41041	3.6186	1
3.4579	3.67641	1
3.50503	3.73419	1
3.55181	3.79196	1
3.59824	3.8497	1
3.64429	3.90742	1
3.68998	3.96512	1
3.7353	4.0228	1
3.78024	4.08045	1
3.8248	4.13809	1
3.86897	4.1957	1
3.91276	4.25329	1
3.95615	4.31086	1
3.99913	4.36841	1
4.04172	4.42593	1
4.0839	4.48343	1
4.12567	4.54092	1
4.16702	4.59837	0
4.20795	4.65581	0
4.24846	4.71323	0
4.28854	4.77062	0
4.32819	4.82799	0
4.36741	4.88534	0
4.40618	4.94267	0
4.44452	4.99998	0
4.4824	5.05726	0
4.51984	5.11453	0
4.55682	5.17177	0
4.59334	5.22899	0
4.62941	5.28619	0
4.66501	5.34336	0
4.70014	5.40052	0
4.7348	5.45765	0
4.76898	5.51476	0
4.80269	5.57185	0
4.83591	5.62892	0
4.86866	5.68597	0
4.90091	5.743	0
4.93267	5.8	0
4.96394	5.85699	0
4.99471	5.91395	0
5.02498	5.9709	0
5.05475	6.02782	0
5.08402	6.08472	0
5.11277	6.1416	0
5.14102	6.19846	0
5.16875	6.2553	0
5.19596	6.31212	0
5.22266	6.36893	0
5.24883	6.42571	0
5.27448	6.48247	0
5.2996	6.53921	0
5.3242	6.59593	0
5.34826	6.65263	0
5.37179	6.70931	0
5.39478	6.76598	0
5.41724	6.82262	0
5.43915	6.87924	0
5.46052	6.93585	0
5.48135	6.99244	0
5.50163	7.04901	0
5.52137	7.10556	0
5.54055	7.16209	0
5.55919	7.2186	0
5.57727	7.2751	0
5.59479	7.33158	0
5.61176	7.38803	0
5.62816	7.44448	0
5.64401	7.5009	0
5.6593	7.55731	0
5.67402	7.6137	0
5.68818	7.67007	0
5.70177	7.72642	0
5.7148	7.78276	0
5.72726	7.83908	0
5.73915	7.89539	0
5.75047	7.95167	0
5.76121	8.00795	0
5.77139	8.0642	0
5.78099	8.12044	0
5.79001	8.17666	0
5.79846	8.23287	0
5.80634	8.28906	0
5.81363	8.34524	0
5.82035	8.40139	0
5.82649	8.45754	0
5.83206	8.51367	0
5.83704	8.56978	0
5.84145	8.62588	0
5.84527	8.68196	0
5.84851	8.73803	0
5.85117	8.79408	0
5.85326	8.85012	0
5.85476	8.90614	0
5.85567	8.96215	0
5.85601	9.01814	0
5.85577	9.07412	0
5.85494	9.13008	0
5.85353	9.18603	0
5.85155	9.24197	0
5.84898	9.29789	0
5.84582	9.3538	0
5.84209	9.40969	0
5.83778	9.46557	0
5.83289	9.52143	0
5.82742	9.57728	0
5.82137	9.63312	0
5.81474	9.68894	0
5.80754	9.74475	0
5.79976	9.80054	0
5.7914	9.85632	0
5.78246	9.91209	0
5.77295	9.96784	0
5.76287	10.0236	0
5.75222	10.0793	0
5.74099	10.135	0
5.72919	10.1907	0
5.71683	10.2464	0
5.70389	10.3021	0
5.69039	10.3577	0
5.67632	10.4134	0
5.66168	10.469	0
5.64649	10.5246	0
5.63073	10.5802	0
5.61441	10.6358	0
5.59753	10.6914	0
5.5801	10.7469	0
5.56211	10.8024	0
5.54356	10.858	0
5.52447	10.9135	0
5.50482	10.969	0
5.48462	11.0245	0
5.46388	11.0799	0
5.4426	11.1354	0
5.42077	11.1908	0
5.3984	11.2462	0
5.37549	11.3016	0
5.35205	11.357	0
5.32807	11.4124	0
5.30356	11.4678	0
5.27852	11.5231	0
5.25296	11.5784	0
5.22687	11.6337	0
5.20025	11.689	0
5.17312	11.7443	0
5.14547	11.7996	0
5.11731	11.8548	0
5.08864	11.91	0
5.05945	11.9652	0
5.02977	12.0204	0
4.99957	12.0756	0
4.96888	12.1307	0
4.93769	12.1859	0
4.90601	12.241	0
4.87383	12.2961	0
4.84117	12.3512	0
4.80802	12.4062	0
4.77439	12.4613	0
4.74028	12.5163	0
4.7057	12.5713	0
4.67064	12.6262	0
4.63512	12.6812	0
4.59913	12.7361	0
4.56268	12.791	0
4.52577	12.8459	0
4.4884	12.9008	0
4.45059	12.9557	0
4.41233	13.0105	0
4.37362	13.0653	0
4.33448	13.1201	0
4.2949	13.1748	0
4.25488	13.2295	0
